commit, encaps_mean, encaps_stddev, decaps_mean, decaps_stddev, enc_mean, enc_stddev, dec_mean, dec_stddev, mul_mean, mul_stddev
288294a, 2826067.47, 32688.99, 4445614.60, 38738.54, 1983894.79, 33032.04, 1584503.47, 23071.85, 624965.27, 5740,75
a91ef86, 2973184.27, 30531.32, 4673712.29, 37634.61, 2126206.25, 30806.52, 1674878.28, 23458.97, 848212.65, 13356.04

b4722c8, 3549054.03, 24842.46, 5779765.48, 30080.00, 2739685.80, 24473.50, 2171553.89, 22579.55, 643444.41, 4948.78
b4722c8, 3643555.40, 29271.29, 6070401.90, 37413.87, 2797433.27, 30242.36, 2405541.52, 23885.82, 858842.66, 13314.40
b4722c8, 4026514.86, 38506.47, 6819468.72, 47763.37, 3195107.26, 38394.70, 2770976.91, 26693.16, 1216993.20, 16570.54
b4722c8, 4470225.81, 48846.30, 7680073.11, 56026.43, 3632298.13, 47524.31, 3193077.76, 30348.87, 1627512.25, 22962.80
